Интегра;17197993;Кресла Корфу;Corfu duo;;;13 000;15 200;кресла;пластик;В НАЛИЧИИ;Израиль;коричневый ;;75х70х79; 120х80х35;;
Интегра;17197786;Набор пластиковой мебели Корфу;Corfu weekend (balkony);Красота и элегантность в одном наборе. Компактная форма стеллажа и оптимальные размеры набора позволяют оформлять также и небольшие садовые и балконные пространства. Комплект состоит из столика и двух кресел с мягкими подушками. ;"Набор мебели из пластика стилизованного под искусственный ротанг включает в себя стол и два кресла. Высокие спинки кресел и удобные подлокотники создают прекрасные условия для отдыха на открытом воздухе. Он прекрасно подходит для использования на курортах, в ресторанах, офисах и на открытом воздухе.

Размеры модулей:

Стол (ВхШхГ): 420 х 770 х 570 мм;
Кресло (ВхШхГ): 790 х 750 х 700 мм.
Мебель изготовлена из пластика, устойчивого к воздействиям внешней среды. Конструкция изделий не содержит металлических элементов, поэтому мебель не боится коррозии и ржавчины. Для ухода за пластиковой мебелью не требуется специальных моющих средств. Благодаря стойкому к высоким температурам полипропилену, цвета не выгорают и не бледнеют. Собираются элементы набора быстро и легко.

Обратите внимание, подушки входят в комплектацию набора мебели.";15 100;17 600;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Израиль;коричневый ;;Кресло 75х70х79, Стол 77х57х42; 120х80х43;;12
Интегра;17197978;Набор пластиковой мебели Квартет;Corfu quartet;;;28 100;32 000;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Израиль;коричневый ;;Кресло 75х70х79, Стол 59х59х33; 77х57х42;;12
Интегра;17197361;Набор пластиковой мебели Корфу на 3 персоны;Corfu set ;;Стильный гарнитур для отдыха Корфу обеспечит своим пользователям наивысший уровень удобства. Комплект отличается современным дизайном, напоминающим натуральное ротанговое переплетение. Надежная конструкция и продуманный дизайн гарнитура обеспечивают усто;24 640;30 800;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Израиль;коричневый ;29;Диван 128х70х79, Кресло 75х70х79, Стол 77х57х42; 120х82х62;;12
Интегра;17200180;Набор пластиковой мебели Корфу с ящиком;Corfu box set (со столиком-ящиком для подушек);;Корфу - это очередное предложение. Это элегантный мебельный гарнитур с фактурой, напоминающей ротанг, которая состоит из двух кресел, диван-кровать и стол с просторной функции буфера обмена. Продукт снабжен мягкими подушками стильных цвето;24 800;31 000;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Израиль;коричневый ;29;Диван  128х70х79, Кресло 75х70х79, Стол 79х59х42; 120х82х62;;12
Интегра;17197786 + 17197959;Набор пластиковой мебели Трипл;Corfu Triple Set;;"Удобный пластиковый комплект мебели имеет эргономичный дизайн и включает в себя трехместный диван, стол и два кресла. Оформление поверхности изделий имитирует плетение ротанга, что делает его отличительным от стандартной пластиковой мебели.

Размеры элементов:

Диван (ВхШхГ): 790 х 1820 х 700 мм;
Кресло (ВхШхГ): 790 х 750 х 700 мм;
Стол (ВхШхГ): 420 х 770 х 570 мм.
Мебель изготовлена из пластика, устойчивого к воздействиям внешней среды. Для ухода за пластиковой мебелью не требуется специальных моющих средств. Изделия не содержат металлических элементов, поэтому мебель не боится коррозии и ржавчины. Собираются элементы набора быстро и легко.

Широкий диван позволяет разместить до пяти персон. Эргономичные спинки и подлокотники создают прекрасные условия для отдыха. Не смотря на то, что комплект имеет неметаллический каркас, мебель устойчивая и прочная.

Обратите внимание, подушки входят в комплектацию набора мебели.";30 100;35 200;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Израиль;коричневый ;;Диван 182х70х79, Кресло 75х70х79, Стол 77х57х42;;;12
Интегра;17198008;Набор обеденой мебели Фиеста;Corfu Fiesta;;Фиеста - это мебельный гарнитур с фактурой поверхности, напоминающей ротанг, в состав которого входят: два кресла, две двухместные софы и большой прямоугольный стол. Набор идеально выполняет функции мебели для приема пищи. Он идеален в качестве диза;37 600;47 000;Обеденные комплекты;пластик;В НАЛИЧИИ;Израиль;коричневый ;54;Диван 128х70х79, Кресло 75х70х79, Стол 161х95х75;  160х120х67;;11
Интегра;17197359;Диван 2х местный Корфу;Corfu Love Seat ;;"Удобный и лаконичный пластиковый комплект мебели состоит из двух кресел, двух диванчиков и стола. Оформление поверхности изделий имитирует плетение из ротанга, что выгодно отличает этот комплект.

Размеры элементов:

Диван (ВхШхГ): 790 х 1280 х 700 мм;
Кресло (ВхШхГ): 790 х 750 х 700 мм;
Стол (ВхШхГ): 750 х 1610 х 950 мм.
Два удобных двухместных дивана и два кресла позволят разместить до шести персон, а высокие эргономичные спинки создают прекрасные условия для отдыха на открытом воздухе. Высота от пола до сидения — 39 см. Толщина подушки 5-6 см, она наполнена поролоном, чехлы съемные, на замке, их можно стирать.

Изделия выполнены из прочного пластика, он устойчив к высоким температурам, краски не выгорают и не бледнеют. Не смотря на то, что комплект имеет неметаллический каркас, мебель устойчивая, прочная и без труда выдержит большой вес.

Обратите внимание, подушки входят в комплектацию набора мебели.";10 880;13 600;Диваны;пластик;В НАЛИЧИИ;Израиль;коричневый ;;128х70х79; 120х80х36;;
Интегра;17197959;Диван 3х местный Корфу;Corfu Love Seat Max;;;15 000;17 600;Диваны;пластик;В НАЛИЧИИ;Израиль;коричневый ;;182х70х79; 120х80х42;;
Интегра;17190706;Набор пластиковой мебели Релакс;Corfu Relax;;Элегантность и функциональность в одном комплекте! Выполненный с высокой тщательностью угловой комплект Релакс,  состоящий из удобного дивана и стильного столика, обеспечит пользователям максимальный комфорт использования. ;36 000;40 000;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Израиль;коричневый ;;Диван 182*182*79 см, Стол 77х57х42 ; 185*90*55 см;;12
